Parameter	Posterior Mean	Posterior Variance	a_post	b_post
NODE_908	1.82731e-07	3.33905e-14	1.00001	5.47256e+06
NODE_909	5.37315e-07	9.81796e-14	2.9406	5.47277e+06
NODE_910	5.37153e-07	9.81501e-14	2.93972	5.47277e+06
NODE_913	3.6023e-07	6.58222e-14	1.97146	5.47278e+06
NODE_917	3.602e-07	6.58185e-14	1.97124	5.47262e+06
NODE_920	5.3755e-07	9.82226e-14	2.94189	5.47277e+06
NODE_921	3.60365e-07	6.58485e-14	1.97215	5.47264e+06
NODE_922	1.06979e-06	1.95487e-13	5.85429	5.4724e+06
NODE_923	5.37882e-07	9.83028e-14	2.94312	5.47169e+06
NODE_925	3.60095e-07	6.57975e-14	1.97072	5.47278e+06
NODE_927	3.59911e-07	6.57638e-14	1.96971	5.47278e+06
NODE_928	1.82907e-07	3.34241e-14	1.00092	5.4723e+06
NODE_930	1.82728e-07	3.33895e-14	1	5.47263e+06
NODE_932	5.37874e-07	9.82904e-14	2.9434	5.47229e+06
NODE_936	3.59965e-07	6.57756e-14	1.96995	5.47262e+06
NODE_937	7.16168e-07	1.3088e-13	3.91883	5.47194e+06
NODE_939	5.37814e-07	9.82708e-14	2.94333	5.47277e+06
NODE_941	9.64064e-06	1.77512e-12	52.3582	5.43099e+06
NODE_942	1.24735e-06	2.2792e-13	6.82643	5.47275e+06
NODE_943	3.60122e-07	6.58023e-14	1.97087	5.47278e+06
NODE_945	7.14958e-07	1.30639e-13	3.9128	5.47277e+06
NODE_948	3.60048e-07	6.57888e-14	1.97046	5.47278e+06
NODE_950	8.9236e-07	1.63063e-13	4.88342	5.47248e+06
NODE_951	3.60663e-07	6.59584e-14	1.97211	5.46803e+06
NODE_952	3.60031e-07	6.57858e-14	1.97037	5.47278e+06
NODE_953	6.03786e-07	1.10368e-13	3.30312	5.47068e+06
NODE_955	3.60088e-07	6.57963e-14	1.97068	5.47278e+06
NODE_956	1.24693e-06	2.27843e-13	6.82412	5.47275e+06
NODE_957	8.92368e-07	1.63056e-13	4.88371	5.47276e+06
NODE_958	5.38492e-07	9.84081e-14	2.94665	5.47203e+06
NODE_962	3.60215e-07	6.58194e-14	1.97138	5.47278e+06
NODE_964	2.16813e-06	3.96364e-13	11.8597	5.47004e+06
NODE_965	5.37908e-07	9.82908e-14	2.94377	5.47263e+06
NODE_966	7.14668e-07	1.30586e-13	3.91121	5.47277e+06
NODE_967	3.59962e-07	6.57732e-14	1.96999	5.47278e+06
NODE_970	1.06965e-06	1.9545e-13	5.85393	5.47275e+06
NODE_971	1.25922e-06	2.302e-13	6.88807	5.47011e+06
NODE_972	1.07302e-06	1.961e-13	5.87131	5.47178e+06
NODE_973	1.42515e-06	2.60466e-13	7.79781	5.47156e+06
NODE_974	6.54263e-07	1.19572e-13	3.57995	5.47172e+06
NODE_975	1.60476e-06	2.93352e-13	8.77875	5.47043e+06
NODE_976	7.14344e-07	1.30547e-13	3.90884	5.47194e+06
NODE_977	3.60217e-07	6.58198e-14	1.97139	5.47278e+06
NODE_978	3.60048e-07	6.57888e-14	1.97046	5.47278e+06
NODE_979	1.41417e-06	2.58412e-13	7.73908	5.47253e+06
NODE_980	5.37611e-07	9.82337e-14	2.94222	5.47277e+06
NODE_981	3.60085e-07	6.57956e-14	1.97066	5.47278e+06
NODE_982	1.60232e-06	2.92801e-13	8.76855	5.47239e+06
NODE_983	1.9584e-06	3.57857e-13	10.7175	5.47258e+06
NODE_984	1.83666e-07	3.35705e-14	1.00484	5.47105e+06
NODE_987	7.18395e-07	1.31285e-13	3.93108	5.47203e+06
NODE_988	3.59974e-07	6.57754e-14	1.97006	5.47278e+06
NODE_989	1.95701e-06	3.57609e-13	10.7097	5.47248e+06
NODE_990	5.37389e-07	9.81932e-14	2.94101	5.47277e+06
NODE_991	8.92542e-07	1.63088e-13	4.88467	5.47276e+06
NODE_993	1.78298e-06	3.2584e-13	9.7564	5.47195e+06
NODE_994	5.3785e-07	9.82775e-14	2.94353	5.47277e+06
NODE_995	3.59973e-07	6.57751e-14	1.97005	5.47278e+06
NODE_996	1.07082e-06	1.95712e-13	5.8589	5.47141e+06
NODE_997	5.38583e-07	9.8418e-14	2.94734	5.4724e+06
NODE_999	3.60567e-07	6.58859e-14	1.97324	5.4726e+06
NODE_1000	5.38971e-07	9.84882e-14	2.94948	5.47244e+06
NODE_1001	3.60362e-07	6.58463e-14	1.97218	5.47278e+06
NODE_1002	1.60186e-06	2.92699e-13	8.76657	5.47273e+06
NODE_1005	1.06982e-06	1.95489e-13	5.85463	5.47254e+06
NODE_1006	5.37613e-07	9.82341e-14	2.94223	5.47277e+06
NODE_1007	8.96577e-07	1.63879e-13	4.90516	5.47099e+06
NODE_1009	7.14733e-07	1.30604e-13	3.9114	5.47254e+06
NODE_1010	3.60175e-07	6.58121e-14	1.97116	5.47278e+06
NODE_1011	3.6008e-07	6.57948e-14	1.97064	5.47278e+06
NODE_1012	3.60009e-07	6.57818e-14	1.97025	5.47278e+06
NODE_1013	1.60241e-06	2.92798e-13	8.76955	5.47274e+06
NODE_1014	3.60125e-07	6.58029e-14	1.97088	5.47278e+06
NODE_1015	8.90854e-07	1.62796e-13	4.87495	5.47223e+06
NODE_1017	1.49555e-06	2.7329e-13	8.18423	5.47239e+06
NODE_1018	1.24777e-06	2.28013e-13	6.82818	5.47233e+06
NODE_1019	8.92387e-07	1.6306e-13	4.88382	5.47276e+06
NODE_1021	3.6001e-07	6.5782e-14	1.97026	5.47278e+06
NODE_1022	5.38547e-07	9.84079e-14	2.94725	5.4726e+06
NODE_1023	5.37319e-07	9.81803e-14	2.94062	5.47277e+06
NODE_1025	1.89181e-07	3.45701e-14	1.03527	5.47239e+06
NODE_1026	7.15021e-07	1.30651e-13	3.91314	5.47277e+06
NODE_1028	3.60307e-07	6.58361e-14	1.97188	5.47278e+06
NODE_1032	3.60234e-07	6.58228e-14	1.97148	5.47278e+06
NODE_1033	1.82729e-07	3.33899e-14	1	5.47259e+06
NODE_1034	1.83069e-07	3.3452e-14	1.00186	5.4726e+06
NODE_1036	1.83005e-07	3.34402e-14	1.00152	5.47261e+06
NODE_1038	3.60283e-07	6.58337e-14	1.97169	5.47263e+06
NODE_1039	3.60377e-07	6.5849e-14	1.97226	5.47278e+06
NODE_1040	5.35609e-07	9.78742e-14	2.93108	5.47243e+06
NODE_1044	3.58814e-07	6.55806e-14	1.96319	5.47134e+06
NODE_1046	5.37698e-07	9.82561e-14	2.9425	5.47241e+06
NODE_1048	3.60069e-07	6.57928e-14	1.97058	5.47278e+06
NODE_1049	5.37358e-07	9.81875e-14	2.94084	5.47277e+06
NODE_1051	8.74192e-07	1.59743e-13	4.78401	5.47249e+06
NODE_1052	5.37762e-07	9.8264e-14	2.94297	5.47263e+06
NODE_1053	7.14746e-07	1.306e-13	3.91164	5.47277e+06
NODE_1054	7.44786e-07	1.3613e-13	4.07484	5.47116e+06
NODE_1056	3.60296e-07	6.58341e-14	1.97182	5.47278e+06
NODE_1057	5.3884e-07	9.84641e-14	2.94877	5.47245e+06
NODE_1058	1.95713e-06	3.57655e-13	10.7096	5.47211e+06
NODE_1059	3.6001e-07	6.57819e-14	1.97025	5.47278e+06
NODE_1060	1.07834e-06	1.97117e-13	5.89909	5.47055e+06
NODE_1061	1.82728e-07	3.33894e-14	1	5.47263e+06
NODE_1062	3.72802e-07	6.81242e-14	2.04012	5.47239e+06
NODE_1063	1.86154e-06	3.40278e-13	10.1838	5.47063e+06
NODE_1065	1.82741e-07	3.3394e-14	1	5.47226e+06
NODE_1066	3.60032e-07	6.5786e-14	1.97038	5.47278e+06
NODE_1068	2.18057e-07	3.9853e-14	1.1931	5.47153e+06
NODE_1071	5.37791e-07	9.82667e-14	2.94321	5.47277e+06
NODE_1073	7.08678e-07	1.29492e-13	3.87842	5.47275e+06
NODE_1075	1.06703e-06	1.94971e-13	5.83958	5.47275e+06
NODE_1076	3.6008e-07	6.57947e-14	1.97064	5.47278e+06
NODE_1077	3.60009e-07	6.57818e-14	1.97025	5.47278e+06
NODE_1078	3.61219e-07	6.60163e-14	1.97647	5.47166e+06
NODE_1079	8.60752e-07	1.57349e-13	4.70862	5.47035e+06
NODE_1080	1.2477e-06	2.27993e-13	6.82808	5.47254e+06
NODE_1081	3.60036e-07	6.57867e-14	1.9704	5.47278e+06
NODE_1082	8.92167e-07	1.6302e-13	4.88262	5.47276e+06
NODE_1083	3.60192e-07	6.58151e-14	1.97125	5.47278e+06
NODE_1084	1.42629e-06	2.60625e-13	7.80553	5.4726e+06
NODE_1085	7.14515e-07	1.30558e-13	3.91038	5.47277e+06
NODE_1086	3.60382e-07	6.58517e-14	1.97224	5.47264e+06
NODE_1087	3.60117e-07	6.58014e-14	1.97084	5.47278e+06
NODE_1089	3.60428e-07	6.58584e-14	1.97255	5.47278e+06
NODE_1091	5.36551e-07	9.80436e-14	2.93632	5.47258e+06
NODE_1092	3.60024e-07	6.57863e-14	1.97028	5.47263e+06
NODE_1093	3.60009e-07	6.57818e-14	1.97025	5.47278e+06
NODE_1097	3.60721e-07	6.59137e-14	1.9741	5.47263e+06
NODE_1099	1.06993e-06	1.95518e-13	5.85502	5.47232e+06
NODE_1102	3.60142e-07	6.5806e-14	1.97098	5.47278e+06
NODE_1106	3.60148e-07	6.58125e-14	1.97085	5.47233e+06
NODE_1107	3.60297e-07	6.58343e-14	1.97182	5.47278e+06
NODE_1109	8.9329e-07	1.63229e-13	4.88863	5.47261e+06
NODE_1111	1.42436e-06	2.60276e-13	7.79484	5.47251e+06
NODE_1112	8.77001e-07	1.60257e-13	4.79935	5.47246e+06
NODE_1113	8.92636e-07	1.63105e-13	4.88518	5.47276e+06
NODE_1114	3.60078e-07	6.57943e-14	1.97063	5.47278e+06
NODE_1116	1.82904e-07	3.34366e-14	1.00052	5.47019e+06
NODE_1117	3.61784e-07	6.61158e-14	1.97967	5.47197e+06
NODE_1119	3.61215e-07	6.60049e-14	1.97677	5.47255e+06
NODE_1120	8.92414e-07	1.63065e-13	4.88397	5.47276e+06
NODE_1121	5.37438e-07	9.82021e-14	2.94127	5.47277e+06
NODE_1122	3.60069e-07	6.57927e-14	1.97058	5.47278e+06
NODE_1123	1.60612e-06	2.93851e-13	8.77865	5.46576e+06
NODE_1124	8.92512e-07	1.63083e-13	4.8845	5.47276e+06
NODE_1125	6.78293e-07	1.23941e-13	3.71209	5.47269e+06
NODE_1126	5.37411e-07	9.81973e-14	2.94113	5.47277e+06
NODE_1127	3.60055e-07	6.57902e-14	1.9705	5.47278e+06
NODE_1128	5.38715e-07	9.8463e-14	2.94744	5.47124e+06
NODE_1129	3.60175e-07	6.5817e-14	1.97101	5.47236e+06
NODE_1130	3.60179e-07	6.58127e-14	1.97118	5.47278e+06
NODE_1131	2.73669e-07	5.00196e-14	1.49731	5.47124e+06
NODE_1132	7.15282e-07	1.30703e-13	3.91444	5.47258e+06
NODE_1133	1.6022e-06	2.92761e-13	8.76843	5.47273e+06
NODE_1136	3.60197e-07	6.58161e-14	1.97128	5.47278e+06
NODE_1144	1.82995e-07	3.34384e-14	1.00146	5.47261e+06
NODE_1146	3.60335e-07	6.58413e-14	1.97203	5.47278e+06
NODE_1150	3.59948e-07	6.57706e-14	1.96991	5.47278e+06
NODE_1151	7.1515e-07	1.30674e-13	3.91385	5.47277e+06
NODE_1153	1.82729e-07	3.33897e-14	1	5.4726e+06
NODE_1154	1.82918e-07	3.34241e-14	1.00105	5.47264e+06
NODE_1158	8.92281e-07	1.6304e-13	4.88324	5.47276e+06
NODE_1159	8.92454e-07	1.63078e-13	4.88401	5.47256e+06
NODE_1161	3.60262e-07	6.58279e-14	1.97163	5.47278e+06
NODE_1162	5.37547e-07	9.8222e-14	2.94187	5.47277e+06
NODE_1163	7.1494e-07	1.30641e-13	3.91254	5.47254e+06
NODE_1167	1.82729e-07	3.33897e-14	1.00001	5.47262e+06
NODE_1168	2.13417e-06	3.89966e-13	11.6797	5.47272e+06
NODE_1169	1.60841e-06	2.93973e-13	8.80003	5.47128e+06
NODE_1170	1.60266e-06	2.92918e-13	8.76873	5.47136e+06
NODE_1171	2.31216e-06	4.22501e-13	12.6534	5.47255e+06
NODE_1172	7.14951e-07	1.30638e-13	3.91276	5.47277e+06
NODE_1173	1.60196e-06	2.92724e-13	8.76682	5.47258e+06
NODE_1174	8.92577e-07	1.63115e-13	4.88424	5.47207e+06
NODE_1175	5.3779e-07	9.82665e-14	2.9432	5.47277e+06
NODE_1177	8.92694e-07	1.63116e-13	4.8855	5.47276e+06
NODE_1178	8.92481e-07	1.63087e-13	4.88402	5.47241e+06
NODE_1179	3.6001e-07	6.5782e-14	1.97026	5.47278e+06
NODE_1184	3.6001e-07	6.5782e-14	1.97026	5.47278e+06
NODE_1190	1.24767e-06	2.2799e-13	6.82781	5.47246e+06
NODE_1191	3.60344e-07	6.5843e-14	1.97209	5.47278e+06
NODE_1192	3.60198e-07	6.58162e-14	1.97128	5.47278e+06
NODE_1193	5.37743e-07	9.82578e-14	2.94294	5.47277e+06
NODE_1194	5.37676e-07	9.82455e-14	2.94258	5.47277e+06
NODE_1195	1.42435e-06	2.60263e-13	7.79512	5.47274e+06
NODE_1196	5.37793e-07	9.8279e-14	2.94286	5.4721e+06
NODE_1200	3.60254e-07	6.58265e-14	1.97159	5.47278e+06
NODE_1201	7.14962e-07	1.3064e-13	3.91282	5.47277e+06
NODE_1202	5.37922e-07	9.82905e-14	2.94392	5.47277e+06
NODE_1203	8.92303e-07	1.63044e-13	4.88336	5.47276e+06
NODE_1207	3.60009e-07	6.57818e-14	1.97025	5.47278e+06
NODE_1208	7.15104e-07	1.30666e-13	3.9136	5.47277e+06
NODE_1210	5.37782e-07	9.8265e-14	2.94316	5.47277e+06
NODE_1211	7.17057e-07	1.3106e-13	3.92316	5.4712e+06
NODE_1214	1.8339e-06	3.35144e-13	10.035	5.47197e+06
NODE_1215	1.24715e-06	2.27884e-13	6.82533	5.47275e+06
NODE_1216	5.40148e-07	9.87078e-14	2.9558	5.47219e+06
NODE_1217	5.3759e-07	9.82299e-14	2.94211	5.47277e+06
NODE_1219	5.42167e-07	9.90741e-14	2.96693	5.47234e+06
NODE_1220	7.15637e-07	1.30848e-13	3.91397	5.46921e+06
NODE_1222	5.37654e-07	9.82416e-14	2.94246	5.47277e+06
NODE_1223	7.15077e-07	1.30665e-13	3.91335	5.47262e+06
NODE_1225	3.60417e-07	6.58564e-14	1.97249	5.47278e+06
NODE_1227	3.60642e-07	6.58991e-14	1.97366	5.47264e+06
NODE_1228	8.92388e-07	1.63066e-13	4.88365	5.47256e+06
NODE_1229	5.37434e-07	9.82056e-14	2.94112	5.47253e+06
NODE_1233	7.17462e-07	1.31103e-13	3.92633	5.47253e+06
NODE_1234	1.24721e-06	2.27902e-13	6.82546	5.47258e+06
NODE_1235	5.37692e-07	9.82486e-14	2.94267	5.47277e+06
NODE_1236	7.14933e-07	1.30635e-13	3.91266	5.47277e+06
NODE_1237	1.42584e-06	2.60542e-13	7.80305	5.4726e+06
NODE_1238	8.92395e-07	1.63074e-13	4.88347	5.47232e+06
NODE_1240	3.7605e-07	6.88698e-14	2.05335	5.46031e+06
NODE_1241	7.15168e-07	1.30678e-13	3.91395	5.47277e+06
NODE_1242	7.15069e-07	1.3066e-13	3.91341	5.47277e+06
NODE_1243	3.60155e-07	6.58084e-14	1.97105	5.47278e+06
NODE_1244	1.82728e-07	3.33896e-14	1	5.47262e+06
NODE_1246	1.06533e-06	1.94674e-13	5.82989	5.47239e+06
NODE_1247	7.15963e-07	1.30826e-13	3.9182	5.47262e+06
NODE_1248	7.15009e-07	1.30652e-13	3.91297	5.47262e+06
NODE_1250	3.60076e-07	6.5794e-14	1.97062	5.47278e+06
NODE_1252	3.60054e-07	6.57899e-14	1.97049	5.47278e+06
NODE_1253	3.60177e-07	6.58124e-14	1.97117	5.47278e+06
NODE_1254	1.8273e-07	3.33903e-14	1	5.47256e+06
NODE_1255	3.66071e-07	6.69281e-14	2.00227	5.46962e+06
NODE_1256	2.33801e-06	4.27375e-13	12.7904	5.47063e+06
NODE_1257	3.60088e-07	6.57962e-14	1.97068	5.47278e+06
NODE_1258	5.37662e-07	9.82431e-14	2.9425	5.47277e+06
NODE_1259	5.37629e-07	9.82371e-14	2.94232	5.47277e+06
NODE_1260	1.82728e-07	3.33895e-14	1	5.47262e+06
NODE_1261	8.92619e-07	1.63107e-13	4.88494	5.4726e+06
NODE_1262	7.1542e-07	1.30747e-13	3.91462	5.47178e+06
NODE_1263	5.37786e-07	9.82657e-14	2.94318	5.47277e+06
NODE_1264	1.24738e-06	2.27925e-13	6.82657	5.47275e+06
NODE_1265	3.60278e-07	6.58309e-14	1.97172	5.47278e+06
NODE_1266	1.42445e-06	2.60282e-13	7.79567	5.47274e+06
NODE_1268	1.06997e-06	1.95508e-13	5.85567	5.47275e+06
NODE_1269	5.37688e-07	9.82479e-14	2.94265	5.47277e+06
NODE_1271	1.82784e-07	3.34047e-14	1.00015	5.4718e+06
NODE_1273	1.4247e-06	2.60356e-13	7.79616	5.47214e+06
NODE_1275	1.42443e-06	2.60288e-13	7.7952	5.47251e+06
NODE_1276	8.93847e-07	1.63331e-13	4.89168	5.47261e+06
NODE_1277	1.6381e-06	3.00901e-13	8.91774	5.44396e+06
NODE_1278	3.60018e-07	6.57835e-14	1.9703	5.47278e+06
NODE_1279	3.59999e-07	6.57799e-14	1.97019	5.47278e+06
NODE_1280	3.59996e-07	6.57794e-14	1.97018	5.47278e+06
NODE_1283	3.60262e-07	6.58279e-14	1.97163	5.47278e+06
NODE_1284	3.60036e-07	6.57866e-14	1.9704	5.47278e+06
NODE_1285	3.60078e-07	6.57943e-14	1.97063	5.47278e+06
NODE_1286	3.6011e-07	6.58001e-14	1.9708	5.47278e+06
NODE_1287	5.38043e-07	9.83155e-14	2.9445	5.47261e+06
NODE_1290	1.06988e-06	1.95492e-13	5.85519	5.47275e+06
NODE_1297	3.603e-07	6.5835e-14	1.97184	5.47278e+06
NODE_1298	1.83096e-07	3.34569e-14	1.00201	5.47259e+06
NODE_1300	3.603e-07	6.5835e-14	1.97184	5.47278e+06
NODE_1303	3.60338e-07	6.58441e-14	1.97198	5.47259e+06
NODE_1304	1.82732e-07	3.33908e-14	1.00001	5.47252e+06
NODE_1313	5.40298e-07	9.87759e-14	2.9554	5.46994e+06
NODE_1321	3.60076e-07	6.5794e-14	1.97062	5.47278e+06
NODE_1322	1.82927e-07	3.34257e-14	1.00109	5.47264e+06
NODE_1323	1.07001e-06	1.95517e-13	5.85593	5.47275e+06
NODE_1324	7.15258e-07	1.30694e-13	3.91444	5.47277e+06
NODE_1325	3.60096e-07	6.57976e-14	1.97073	5.47278e+06
NODE_1326	8.92028e-07	1.62994e-13	4.88186	5.47276e+06
NODE_1327	1.06996e-06	1.9552e-13	5.85525	5.4724e+06
NODE_1334	3.60074e-07	6.57936e-14	1.97061	5.47278e+06
NODE_1339	3.6002e-07	6.57837e-14	1.97031	5.47278e+06
NODE_1340	1.24705e-06	2.27865e-13	6.82476	5.47275e+06
NODE_1341	7.14856e-07	1.30621e-13	3.91224	5.47277e+06
NODE_1342	3.60007e-07	6.57842e-14	1.97015	5.47254e+06
NODE_1344	3.60089e-07	6.57964e-14	1.97069	5.47278e+06
NODE_1345	5.36092e-07	9.79591e-14	2.93382	5.47261e+06
NODE_1350	3.60297e-07	6.58343e-14	1.97182	5.47278e+06
NODE_1351	7.27732e-07	1.33011e-13	3.98158	5.47121e+06
NODE_1352	3.60164e-07	6.58101e-14	1.9711	5.47278e+06
NODE_1353	3.60554e-07	6.58905e-14	1.97296	5.47202e+06
NODE_1359	7.14711e-07	1.30594e-13	3.91145	5.47277e+06
NODE_1361	1.42534e-06	2.60443e-13	7.80049	5.47274e+06
NODE_1369	5.38114e-07	9.83282e-14	2.9449	5.47263e+06
NODE_1370	1.43473e-06	2.62186e-13	7.8511	5.47218e+06
NODE_1371	5.65538e-07	1.03344e-13	3.09484	5.47237e+06
NODE_1372	1.83012e-07	3.34415e-14	1.00155	5.4726e+06
NODE_1374	1.82729e-07	3.33898e-14	1.00001	5.47261e+06
NODE_1376	3.59991e-07	6.57784e-14	1.97015	5.47278e+06
NODE_1379	2.20199e-07	4.02514e-14	1.20461	5.47058e+06
NODE_1380	1.82738e-07	3.33932e-14	1	5.47232e+06
NODE_1381	3.61923e-07	6.61716e-14	1.97952	5.46946e+06
NODE_1382	2.66667e-06	4.87354e-13	14.5913	5.47174e+06
NODE_1385	5.37602e-07	9.82321e-14	2.94217	5.47277e+06
NODE_1386	5.37586e-07	9.82292e-14	2.94209	5.47277e+06
NODE_1388	7.23442e-07	1.32212e-13	3.95855	5.47184e+06
NODE_1389	3.60307e-07	6.58362e-14	1.97188	5.47278e+06
NODE_1390	3.60043e-07	6.5788e-14	1.97044	5.47278e+06
NODE_1393	5.37606e-07	9.82327e-14	2.94219	5.47277e+06
NODE_1394	1.07094e-06	1.95692e-13	5.86082	5.4726e+06
NODE_1395	1.8291e-07	3.34225e-14	1.001	5.47264e+06
NODE_1397	5.37672e-07	9.82475e-14	2.94248	5.47263e+06
NODE_1398	1.82902e-07	3.34212e-14	1.00096	5.47264e+06
NODE_1399	7.15719e-07	1.30782e-13	3.91686	5.47262e+06
NODE_1400	7.16445e-07	1.30918e-13	3.92073	5.47248e+06
NODE_1401	5.37368e-07	9.81893e-14	2.94089	5.47277e+06
NODE_1404	3.60231e-07	6.58223e-14	1.97146	5.47278e+06
NODE_1405	3.60183e-07	6.58135e-14	1.9712	5.47278e+06
NODE_1411	3.60183e-07	6.58135e-14	1.9712	5.47278e+06
NODE_1413	3.60183e-07	6.58135e-14	1.9712	5.47278e+06
NODE_1414	3.60152e-07	6.58078e-14	1.97103	5.47278e+06
NODE_1417	3.60183e-07	6.58135e-14	1.9712	5.47278e+06
NODE_1426	3.60069e-07	6.57926e-14	1.97058	5.47278e+06
NODE_1428	5.37575e-07	9.82273e-14	2.94203	5.47277e+06
NODE_1429	5.37752e-07	9.82595e-14	2.94299	5.47277e+06
NODE_1430	7.15133e-07	1.30671e-13	3.91376	5.47277e+06
NODE_1431	5.37712e-07	9.82523e-14	2.94278	5.47277e+06
NODE_1432	8.92226e-07	1.6303e-13	4.88294	5.47276e+06
NODE_1434	5.41459e-07	9.89473e-14	2.96297	5.47219e+06
NODE_1436	3.60153e-07	6.58081e-14	1.97104	5.47278e+06
NODE_1437	3.63322e-07	6.63961e-14	1.98811	5.47204e+06
NODE_1440	3.60411e-07	6.58552e-14	1.97245	5.47278e+06
NODE_1441	8.9407e-07	1.63376e-13	4.89277	5.47247e+06
NODE_1444	3.60262e-07	6.58279e-14	1.97163	5.47278e+06
NODE_1445	3.60393e-07	6.58538e-14	1.97229	5.47262e+06
NODE_1446	3.60171e-07	6.58114e-14	1.97114	5.47278e+06
NODE_1447	3.60048e-07	6.57888e-14	1.97046	5.47278e+06
NODE_1451	7.15153e-07	1.30675e-13	3.91387	5.47277e+06
NODE_1454	1.82916e-07	3.34238e-14	1.00103	5.47264e+06
NODE_1455	3.60087e-07	6.5796e-14	1.97068	5.47278e+06
NODE_1457	3.6002e-07	6.57837e-14	1.97031	5.47278e+06
NODE_1458	1.07136e-06	1.95768e-13	5.86314	5.47261e+06
NODE_1461	5.37583e-07	9.82286e-14	2.94207	5.47277e+06
NODE_1462	3.60121e-07	6.58023e-14	1.97086	5.47278e+06
NODE_1463	3.60143e-07	6.58062e-14	1.97098	5.47278e+06
NODE_1464	7.14837e-07	1.30617e-13	3.91213	5.47277e+06
NODE_1465	7.1487e-07	1.30623e-13	3.91232	5.47277e+06
NODE_1468	5.41892e-07	9.90264e-14	2.96534	5.47219e+06
NODE_1469	7.14903e-07	1.30629e-13	3.9125	5.47277e+06
NODE_1470	3.60136e-07	6.5805e-14	1.97095	5.47278e+06
NODE_1471	8.93798e-07	1.63322e-13	4.89141	5.47262e+06
NODE_1472	3.62815e-07	6.63015e-14	1.98539	5.4722e+06
NODE_1473	1.95722e-06	3.57633e-13	10.7113	5.47272e+06
NODE_1474	7.16488e-07	1.30989e-13	3.91905	5.46981e+06
NODE_1480	1.82915e-07	3.34235e-14	1.00103	5.47264e+06
NODE_1482	1.82739e-07	3.33922e-14	1.00003	5.47249e+06
NODE_1483	3.60184e-07	6.58138e-14	1.97121	5.47278e+06
NODE_1486	1.82915e-07	3.34235e-14	1.00103	5.47264e+06
NODE_1487	3.60262e-07	6.58279e-14	1.97163	5.47278e+06
NODE_1500	3.60433e-07	6.58591e-14	1.97257	5.47278e+06
NODE_1505	3.60158e-07	6.58089e-14	1.97106	5.47278e+06
NODE_1508	7.1609e-07	1.3085e-13	3.91889	5.47262e+06
NODE_1509	5.37738e-07	9.8257e-14	2.94292	5.47277e+06
NODE_1513	3.60134e-07	6.58047e-14	1.97094	5.47278e+06
NODE_1514	3.60184e-07	6.58138e-14	1.97121	5.47278e+06
NODE_1516	3.60134e-07	6.58047e-14	1.97094	5.47278e+06
NODE_1517	5.37786e-07	9.82658e-14	2.94318	5.47277e+06
NODE_1520	5.37711e-07	9.8252e-14	2.94277	5.47277e+06
NODE_1523	3.60184e-07	6.58138e-14	1.97121	5.47278e+06
NODE_1524	3.60262e-07	6.58279e-14	1.97163	5.47278e+06
NODE_1527	3.60171e-07	6.58114e-14	1.97114	5.47278e+06
NODE_1534	5.37738e-07	9.82569e-14	2.94292	5.47277e+06
NODE_1536	3.60112e-07	6.58005e-14	1.97081	5.47278e+06
NODE_1542	5.37786e-07	9.82658e-14	2.94318	5.47277e+06
NODE_1543	1.84103e-07	3.36434e-14	1.00745	5.4722e+06
NODE_1545	5.37786e-07	9.82658e-14	2.94318	5.47277e+06
NODE_1552	3.60112e-07	6.58005e-14	1.97081	5.47278e+06
NODE_1554	3.60112e-07	6.58005e-14	1.97081	5.47278e+06
NODE_1557	5.37786e-07	9.82658e-14	2.94318	5.47277e+06
NODE_1570	1.84103e-07	3.36434e-14	1.00745	5.4722e+06
NODE_1577	5.37786e-07	9.82658e-14	2.94318	5.47277e+06
NODE_1579	5.37619e-07	9.82352e-14	2.94227	5.47277e+06
NODE_1581	1.08136e-06	1.98129e-13	5.90193	5.45786e+06
NODE_1582	8.92445e-07	1.6307e-13	4.88414	5.47276e+06
NODE_1584	3.84723e-07	7.0335e-14	2.10439	5.46987e+06
NODE_1585	1.97936e-06	3.61742e-13	10.8305	5.47173e+06
NODE_1586	5.40608e-07	9.91439e-14	2.9478	5.45276e+06
NODE_1590	2.3281e-06	4.25445e-13	12.7397	5.47216e+06
NODE_1591	1.78264e-06	3.26321e-13	9.73829	5.46284e+06
NODE_1593	1.79968e-06	3.28919e-13	9.8469	5.47149e+06
NODE_1594	3.61218e-07	6.60218e-14	1.9763	5.4712e+06
NODE_1595	7.14858e-07	1.30629e-13	3.91202	5.47244e+06
NODE_1596	3.78817e-07	6.92241e-14	2.07301	5.47233e+06
NODE_1597	1.82776e-07	3.34061e-14	1.00003	5.47134e+06
NODE_1598	6.41841e-07	1.17314e-13	3.51161	5.47115e+06
NODE_1599	1.83052e-07	3.34487e-14	1.00177	5.4726e+06
NODE_1602	1.83038e-07	3.3451e-14	1.00155	5.47183e+06
NODE_1603	1.07252e-06	1.96018e-13	5.86837	5.47155e+06
NODE_1604	7.14848e-07	1.30619e-13	3.91219	5.47277e+06
NODE_1606	3.60262e-07	6.58279e-14	1.97163	5.47278e+06
NODE_1607	8.92558e-07	1.63099e-13	4.88451	5.47249e+06
NODE_1608	8.94009e-07	1.63413e-13	4.89099	5.47085e+06
NODE_1609	1.82731e-07	3.33904e-14	1.00001	5.47256e+06
NODE_1613	1.26395e-06	2.31679e-13	6.89558	5.45559e+06
